מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2019 - מועד א',איזה מהמסיחים הבאים תומך בתיאורית ה-RNA World?,הRNA משמש כחומר גנטי.,"הRNA משמש לקטליזה, כלומר משמש כאנזים.",קיימת סלקציה טבעית לטובת RNA המסוגל לשכפל את עצמו.,א'+ב'+ג',,,4,גנומיקה,TRUE,,
שחזורים 2019 - מועד א',"מה היתה תרומתם של חיידקים מבצעי פוטוסינתזה לכדה""א כפי שאנו מכירים אותו כיום?","ניצלו את אנר' השמש לביצוע פוטוסינתזה ובכך הורידו את טמפ' כדה""א",לפי התאוריה האנדוסימביוזית בלעו תא אחר והיוו אב קדמון לאאוקריוטים,החומר הגנטי שלהם היה RNA קדום שממנו התפתח הDNA,חיו על שורשים של צמחים ומאפשרים קבלת נוטריינטים מהאדמה,"הם מקבעים פחמן דו חמצני ומשחררים חמצן שהכרחי לקיום הרבה מיני בע""ח היום",,5,גנומיקה,FALSE,,
שחזורים 2019 - מועד א',(ציור של עץ פילוגנטי) לפי האיור מה ניתן ללמוד על הcambrian explosion?,גרם להכחדה המונית.,אחריו נוצרו מינים מגוונים בעקבות יחסי טורף נטרף.,בעקבותיו נוצרו יצורים רב תאיים.,נוצרו ציפורים ויצורים קטנים ששרדו טוב יותר מאורגניזמים גדולים.,אחריו הייתה עליה מהים ליבשה.,,2,אבולוציה,FALSE,,
שחזורים 2019 - מועד א',מה היתה הבדיקה לדעת מה הגיל של מאובן :,דעיכה של איזוטופ רדיואקטיבי,בדיקת שלמות המאובן,השוואת צורת המאובן לשלדים קיימים ומוכרים,ריצוף הדנא של המאובן והשוואתו לדנא של יצורים החיים כיום,הערכה של כמות החמצן האגורה במאובן,,1,אבולוציה,FALSE,,
שחזורים 2019 - מועד א',מה ההבדל בין נגיף (וירוס) לבין תא ?,"תא מכיל חומר גנטי, לנגיף אין חומר גנטי","לתא יש פולימראז שמעתיק דנא, לנגיף אין פולימראז שמעתיק דנא","לתא יש יכולת עצמאית לתרגם מידע גנטי לחלבון, לנגיף אין יכולת לתרגם מידע גנטי לחלבון","תא עובר אבולוציה, נגיף לא.",ב+ג,א+ב+ג,3,גנומיקה,TRUE,,
שחזורים 2019 - מועד א',עמידות הנגיפים לתרופה נגד HIV,סלקציה לטובת וירוסים שיש להם עמידות לתרופה,סלקציה נגד וירוסים שהתרופה נקשרה אליהם,צוואר בקבוק וסחף גנטי הביאו לשינוי באוכלוסיה,א+ב,א+ב+ג,,4,גנומיקה,TRUE,,
שחזורים 2019 - מועד ב',מה ניתן ללמוד מהאיור לפי מה שנלמד בשיעור?,מאובן ב' עתיק ממאובן א',ככל שהשכבה עליונה יותר היא צעירה יותר,ניתן למצוא מאובנים בכל שכבות הקרקע,א+ב+ג,,,,,TRUE,https://i.imgur.com/7OdqYsD.png,
שחזורים 2019 - מועד ב',מה מסבירה התיאוריה של דארווין?,את הדמיון בין כל החיים,את ההבדלים בין כל הפרטים החיים,את ההתאמות של אורגניזמים לסביבתם,א+ב+ג נכונות,,,,,TRUE,,
שחזורים 2019 - מועד ב',"בדרום ישראל, ציפורים רבות ניזונות מנמלים לבנים, אפורים ושחורים בשנים האחרונות צבע החול הופך להיות אפור/שחור עקב זיהום, מה שמאפשר לנמלים מסוימות הסוואה איזו סלקציה סביר שתפעל על הנמלים?",סלקציה כיוונית directional selection,סלקציה מייצבת stabilizing selection,סלקציה משבשת disruptive selection,סלקציה מואצת accelerated selection,סלקציה מואטת decelerated selection,,,,FALSE,,
שחזורים 2019 - מועד ב',"בשדה של צמחי בר יש מינים שונים של פרחים מבדיקה שנערכה התגלה כי יש בשדה 5000 פרטים של כלנית ו-500 פרטים של רקפת בהיעדר סלקציה, מה מהמשפטים הבאים סביר ביותר?","עם הזמן יש סיכוי שיחולו שינויים בשכיחויות אללים שונים באוכלוסיית הכלנית, אך סיכוי זה קטן יותר באוכלוסיית הרקפת.","עם הזמן יש סיכוי שיחולו שינויים בשכיחויות אללים שונים באוכלוסיית הרקפת, אך סיכוי זה קטן יותר באוכלוסיית הכלנית.",נצפה ששתי האוכלוסיות יהיו בשיווי משקל הרדי ויינברג.,נצפה שאוכלוסיית הכלנית תהיה בשיווי משקל הרדי ויינברג.,נצפה שאוכלוסיית הרקפת תהיה בשיווי משקל הרדי ויינברג.,,,,FALSE,,
שחזורים 2019 - מועד ב',בתירס יש גם צהובים וגם סגולים בשווי משקל משאווה הרדי וויינברג דגמת מאוכלוסיה של 100 פריטים ויצא ש-91 היו סגולים והיתר צהובים מה השכיחות של האלל צהוב?,0.09,0.3,0.49,0.7,,,,,FALSE,,
שחזורים 2019 - מועד ב',ביצעת בדיקת לגנים של תורם זרע וגילת כי מספר המוטציות בתאי הזרע רב יותר מבתאי העור? מה ההסבר ההגיוני,המוטציות בתאי הזרע קיימות בכדי לבצע הפרייה טובה יותר עם הביצית,המוטציות כנראה יהיו נייטרליות או מזיקות,רוב המוטציות ברצפים שמקודדים לגנים,רוב המוטציות ברצפים שלא מקודדים לגנים,א+ג,ב+ד,,,TRUE,,
שחזורים 2019 - מועד ב',במאה ה19 הייתה אוכלוסיות דרקונים גדולה שבעקבות צייד המוני הצטמצמה בשנות ה20 עקב חוקים שאוסרים על ציד גדלה אוכ הדרקונים שוב מה סביר שיקרה?,האוכ מגוונת גנטית,השונות הגנטית באוכ קטנה,יש סלקציה לטובת פריטים הטרוזיגוטים,האוכ תהיה חסינה למגוון מחלות שונות,,,,,FALSE,,
שחזורים 2019 - מועד ב',מה נכון לגבי פרוקריוטים?,,,הם אחראים לבערך כרבע מייצור החמצן,,,,,,FALSE,,
שחזורים 2019 - מועד ב',"אורכו של הגנום של בני אדם 3 מליון בסיסים ויש לו רק 20000 גנים, ואילו לעכבר יש 15 בסיסים ו 50000 גנים אך אדם נחשב מורכב יותר מעכבר מה מסביר זאת?","בדנ""א של אדם יש הרבה אזורים לא מקודדים",אין הגדרה מדויקת למה נחשב אורגניזם מורכב יותר,,א+ב נכונים,,,,,FALSE,,
שחזורים 2019 - מועד ב',איזה גזים לא היו לפני באטמוספירה לפני הופעתם של יצורים שעושים פוטוסינתזה?,חמצן,פחמן דו חמצני,פחמן חד חמצני,חנקן,מתאן,,,,FALSE,,
שחזורים 2019 - מועד ב',מה נכון בנוגע לתיארוך של מאובנים,אפשר לתארך תיארוך לא מדויק על ידי השוואה בין מאובן בשכבת סלע לעומת מאובן בשכבה אחרת.,. תארוך מדויק על ידי פחמן 14 או איזוטופ רדיואקטיבי אחר על פי זמן מחצית החיים שלהם.,על פי מצב החמצן בסלע כי החמצן עולה באטמוספירה כל הזמן החל מלפני 4 שנים.,. א + ב,. א + ב + ג,,4,,TRUE,,
שחזורים 2019 - מועד ב',מחזור החיים ליזוגני ( lysogenic life cycle) כולל:,ליזיס מוקדם של התא המארח,שלב של רברס טרנסקריפציה,פרו פאג' prophage,"שלב של הרס דנ""א המארח","שלב של אריזה של דנ""א מארי בתוך קפסיד של פאג' חדש הנארז",,,,FALSE,,
שחזורים 2019 - מועד ב',מה דרוש כדי שוירוס HIV יחדור לתא?,אנזים נוקלאזה,אנזים רוורס טרנסריפטאז,"רנ""א שפועל על דנ""א","דנ""א שפועל על דנ""א",א+ב נכונים,ב+ג נכונים,ב+ג+ד נכונים,,TRUE,,
שחזורים 2019 - מועד ב',מישהוא חרט את השם שלו על עץ בגובה 2 מטר ועץ מתארך מטר כל שנה אחרי 5 שנים איפה יהיה השם ?,7 מטר,2 מטר,,,,,2,,FALSE,,
שחזורים 2019 - מועד ב',אכלתם מנה עם אורז מה צריך לאכול עוד כדי להשלים את … התזונתיים ?,תפוח אדמה,עדשים,שעורה,חיטה,,,2,,FALSE,,
שחזורים 2019 - מועד ב',מה הסיבה שחיידקים יכולים לפתח עמידות לאנטיביוטיקה מהר,קצב מוטציה גבוה,קצת התרבות גבוהה,,א+ב נכונות,,,,,TRUE,,
שחזורים 2019 - מועד ב',למה המים יורדים למעלה בעץ :,הפסי למעלה יותר שלילי,אדהזיה וקוהזיה,,,,,,,FALSE,,
שחזורים 2019 - מועד ב',מה הכוח שמניע את המים מהשורשים עד לעלים?,פוטנציאל מים נמוך באיזור השורשים וגבוה באוויר שבא במגע עם העלים.,פוטנציאל מים גבוה באיזור השורשים ונמוך באוויר שבא במגע עם העלים.,כוחות אדהזיה וקוהזיה.,,,,2,,FALSE,,
שחזורים 2019 - מועד ב',שאלה על צמחים כאשר קורה יצאת מים מהר :,הבועיות מדתחררות והצמח עלול למות,,,,,,,,FALSE,,
שחזורים 2019 - מועד ב',מה ההבדל המרכזי בין חיידקים גרם-חיוביים וחיידקים גרם שליליים?,חיידקים גרם חיוביים טעונים חיובית וחיידקים גרם שלילית טעונים שלילי.,חיידקים גרם חיוביים נמצאים בשיווי משקל הרדי ווינברג וחיידקים גרם שליליים לא.,לחיידקים גרם חיוביים יש נטייה של מעבר גנטי LGT.,חיידקים גרם חיוביים גורמים למחלות וחיידקים גרם שליליים אינם גורמים למחלות.,חיידקים גרם חייובים עוברים צביעת gram staining ושליליים אינם עוברים צביעה.,,,,FALSE,,
שחזורים 2019 - מועד ב',לפי מה הוחליטו שהחיים מחולקים ל 3 דומיינים- אוקריוטים אראכה ובקטריה?,לפי ספר שכתב .לינוס? .. שנת 1935,לפי רצף dna,לפי מיקרוסקופ אלקטרוני,על בסיס ההבחנה בנוכחות איברונים שונים בכל אחד מהאורגניזמים בדומיינים השונים,,,,,FALSE,,
שחזורים 2019 - מועד ב',מה מהבאים לא קיים בכל האאוקריוטים?,מיטוכונדריה,גרעין ומעטפת,כלורופלסט,ריבוזום,חומר גנטי,,,,FALSE,,
שחזורים 2019 - מועד ב',מה מתאר האיור?,מיקרוזיה ארבוסקולרית,חזזית,יחסים של טפילות,א+ג נכונות,ב+ג נכונות,,2,,TRUE,,
שחזורים 2019 - מועד ב',"בצמח בצל בן שנה, ערך הפסאי גבוה בהרבה בשורשים מאשר בנצר מהי תנועת הסוכרים:","א) סוכרים שנוצרים בעלים, יעלו אך ורק למעלה.","ב) סוכרים שנוצרים בעלים, יכולים לרדת למטה",ג)סוכרים לא יכולים לרדת למטה.,ד)סוכרים לא יכולים לעלות למעלה.,ה)אף תשובה אינה נכונה,,,,FALSE,,
שחזורים 2019 - מועד ב',למי מנבאים אין מעי אלא חלל גסטרו וסקולרי?,תולעים שטוחות,קווצי עור,חולייתנים,,,,,,FALSE,,
שחזורים 2019 - מועד ב',מה משותף לחולייתנים?,,בעלי גולגולת,בעלי לסתות,בעלי חוליות,,,,,FALSE,,
שחזורים 2019 - מועד ב',"על נבט אטיולנטי שמכוסה בחלקו התחתון בשכבה אטומה, מאירים באור אדום מה יקרה לנבט?",הנבט לא יתכופף,הנבט יתכופף לכיוון האור,הנבט יתכופף לכיוון המנוגד לאור,"הנבט יתכופף, אך לא באותה מידה כמו שהיה מתכופף אם היה נחשף לאור לבן.",,,1,,FALSE,,
שחזורים 2019 - מועד ב',"בעץ בננות מוטנט שחסר בו רצפטור לאתילן, מה סביר שיקרה?",הפירות לא יבשילו גם אם נקרב אותם לפירות של עץ בננות אחר.,הפירות יבשילו אם נרסס אותם באתילן.,הפירות יבשילו אם נקרב אותם לפרות של עץ בננות אחר.,,,,1,,FALSE,,
שחזורים 2019 - מועד ב',מדוע צמח מוטנט שהפיוניות שלו פתוחות תמיד ימות מהר יותר?,מפני שטרנספירציה חזקה גורמת להיווצרות בועות במערכת ההובלה.,,,,,,1,,FALSE,,
שחזורים 2019 - מועד ב',"התפתחות השלב הספורופיטי בצמח התאפשרה ע""י:","עיכוב חלוקת המיוזה של הזיגוטה, והתפתחותה בחלוקות מיטוטיות.",עיכוב חלוקת המיטוזה של הזיגוטה והתפתחותה בחלוקות מיוטית.,,,,,1,,FALSE,,
שחזורים 2019 - מועד ב',"מצאו צמח בעל עוברים, מבצע פוטוסינתזה, ובעל מערכות הובלה אילו מבין קבוצות הצמחים הבאות הוא לא יכול להכלל בהן?",טחבים,שרכים,מכוסי זרע,חשופי זרע,אצות ירוקיות חד תאיות,,1,,FALSE,,
שחזורים 2019 - מועד ב',מה הבאים הכי משפיע על ההתמיינות של תא מריסטמי?,המיקום שלו במריסטמה.,כיוון החלוקה של התא.,ביטול של גנים מסויימים,,,,1,,FALSE,,
שחזורים 2019 - מועד ב',"איפה יתבטא גן מקבוצת ,C במוטנט שהוא הומוזיגוט לתקלה בגן מקבוצת A?",בכל איברי הפרח,בשחלות,באבקנים,,,,1,,FALSE,,
שחזורים 2019 - מועד ב',על מה מצביע החץ הבא?,,,מריסטמה קודקודית,,מריסטמת תפרחת,מריסטמת הפרח,5,,FALSE,,
שחזורים 2018 - מועד א',למה pcr לא מתבצע בטמפ החדר?,אין פולימרזות שפועלות ב25 מעלות,הליגאז בתהליך דורש טמפ גבוהה,הפרדת גדילי DNA דורשת טמפ גבוהה,בטמפ 25 מעלות לא תהיה הכפלה אקספוננציאלית,התהליך צריך להתבצע ב0 מעלות כדי שלא תהיה הפרדות גדילי dna,,3,,FALSE,,
שחזורים 2018 - מועד א',מה נכון לגבי הכנה של דנא רקומיבנטורי?,משתמשים באותו אנזים רסטריקה גם לפלסמיד וגם לדנא כדי שיכירו אחד את השני בסטיקי אנס,משתמשים באנזים שונים,"לא משתמשים ברסטיריקציה, אלא ליגאז",לא משתמשים....?,משתמשים באנזים רסטריקציה כדי לחתוך לחתיכות קטנות.,,1,,FALSE,,
שחזורים 2018 - מועד א',אילו מהדוגמאות הבאות מדגימות מטה-גנומיקה?,ריצוף של הגנום האנושי,ריצוף של עשרה מינים של פרפרים ממדינות שונות באירופה,ריצוף של אבולה מחולים באפריקה,ריצוף של כל קהילת החיידקים בביוב בישראל,ריצוף של חזיר הבר האסייתי,,4,,FALSE,,
שחזורים 2018 - מועד א',איך נחפש גן ברצף חדש שרוצף?,קריאת 3 מסגרות קריאה ומציאת הגן הארוך ביותר שמתחיל בקודון האינציאציה ATG ומסתיים בקודון טרמינציה.,קריאת 6 מסגרות קריאה ומציאת הגן הארוך ביותר שמתחיל בקודון האינציאציה ATG ומסתיים בקודון טרמינציה.,קריאת 6 מסגרות קריאה ומציאת הגן הארוך ביותר שמתחיל בקודון האינציאציה ATG ומסתיים ב חומצה אמינית ארומטית.,קריאת מסגרת קריאה אחת החל מקודון האינטיאציה ועד קודון הטרמינציה.,"לא זוכרת במדויק, לא הייתה מסגרת קריאה, משהו על הגן הארוך ביותר.",,2,,FALSE,,
שחזורים 2018 - מועד א',מדוע אין קורלציה/התאמה חיובית בין מספר הגנים בגנום לגודל הגנום?,ככל שהגנום גדול יותר מספר הגנים הם מעטים יותר וגדולים יותר.,בגנומים גדולים יש אובדן גדול של גנים כתוצאה מרקומבינציה.,בגלל סלקציה לטובת גנומים גדולים יותר באורגניזמים גדולים יותר ו/או מורכבים יותר.,בגלל פעילות של טרנספוזונים שמוציאים חומר גנטי ומקטינים את גודל הגנום.,גנומים רבים גדולים נושאים הרבה חומר לא מקודד non coding DNA,,5,,FALSE,,
שחזורים 2018 - מועד א',ריצפתם גנים של שני יתושים ביתיים ומצאתם דמיון של 90% מה הסיבה ההגיונית ביותר לדמיון זה,אב קדמון משותף,דמיון מקרי אקראי,זרימת גנים אופקית,א וב יכולים להיות באותה מידה,,,1,,FALSE,,
שחזורים 2018 - מועד א',עוברים של ציפור ודג דומים לעובר של אדם בהתחלה. על מה מעיד?,העובר עובר אבולוציה בזעיר אנפין (תוקן לסקאלה קטנה),חולקים אב קדמון משותף,יש יתרון להיות דומה לעובר אנושי (סלקצייה חיובית?),עוד שטות שהם המציאו.,,,2,,FALSE,,
שחזורים 2018 - מועד א',"מה מייצג את שכיחות ההטרוזיגוטים באוכלוסייה, על פי משוואת הרדי וינברג:",P^2,Q^2,2pq,P^2+2pq,Q^2+2pq,,3,,FALSE,,
שחזורים 2018 - מועד א',"השכיחות של אלל A היא 0.6, והשכיחות של אלל a היא 0.4. מהי השכיחות של הטרוזיגוטיים בעלי גנוטיפ Aa?",0.48,0.24,0.6,0.4,1,,1,,FALSE,,
שחזורים 2018 - מועד א',כשרוצים להעביר דנא מחיידק (אולי וירוס?) אחד לאחר- מה נכון:,יש להשתמש באותו אנזים רסטריקציה שיחתוך את הדנא החדש והמקורי,יש להשתמש באנזים רסטריקציה שונה לשניהם,,,,,,,FALSE,,
שחזורים 2018 - מועד א',מה מההיגדים מתאר את ההבדלים בתפיסתם של דרווין ולמרק את האבולוציה?,למרק האמין שתכונות נרכשות מועברות בתורשה.,למרק האמין כי צוואר הג׳ירפה ארוך משום שלאורך חיים הפרט מותח את צווארו ומוריש תכונה זאת לצאצאיו.,"למרק האמין שפריטים בעלי תכונות מורשות המעלות את שרידותם, יעמידו יותר צאצאים.",א+ב,א+ב+ג,,4,,TRUE,,
שחזורים 2018 - מועד א',הדוגמה של העשים הכהים והבהירים במאה ה19 מעידה על כך ש:,אבולוציה מתרחשת מאוד לאט כך שלא ניתן לראות שינויים בזמן חיים של בני אדם,שינוי סביבתי מוביל לאבולוציה של מינים בסביבה החדשה,לעשים הכהים יש יתרון אבולוציוני בכל הסביבות הקיימות כיום,שינוי בתדירות האללים של העשים הכהים תואמת את התיאוריה של למארק,ב+ד,,2,,TRUE,,
שחזורים 2018 - מועד א',מי מבין המשפטים הבאים נכון:,המקור של בני אדם הוא משימפנזה,לבן אדם ושימפנזה יש אב קדמון משותף,לשימפנזה ולחיידקים יש אב קדמון משותף,לחיידקים ולבני אדם יש אב קדמון משותף,ב+ג+ד,,5,,TRUE,,
שחזורים 2018 - מועד א',"לגן חיות בגרמניה הביאו קבוצה של נמרים מאסיה.לאחר כמה מחזורי רבייה שמו לב ש10 מתוך 140 הם עיוורים, לא היה אף נמר עיוור מלחתכילה, מה יכולה להיות הסיבה?",הייתה מוטציה בגן המקודד לראייה לאורך הדורות שגרמה לחלקם להיות עיוורים,הגן האחראי לראייה הוא רצסיבי,,,,,1,,FALSE,,
שחזורים 2018 - מועד א',איזה דוגמא מייצגת adaptive radiation?,עלייה בשכיחות העשים בעקבות המהפכה התעשייתית,היווצרות מיני יונקים חדשים בעקבות הכחדת הדינוזאורים.,עמידות חיידקים לאנטיביוטיקה,ירידה חדה באוכלוסיית כלבי ציד בעקבות ציד.,נדידה של האדם בעולם,,2,,FALSE,,
שחזורים 2018 - מועד א',מה המשפטים הבאים לא נכון לגבי הכחדה המונית (mass extinction)?,הכחדה המונית פוגעת יותר במינים החיים על היבשה מאשר מינים החיים בים,הכחדה המונית גורמת לעיתים קרובות להיווצרות של מינים חדשים רבים,אופיינו 5 הכחדות המוניות באבולוציה,הדינוזאורים הוכחדו בהכחדה המונית,א+ד,,1,,TRUE,,
שחזורים 2018 - מועד א',"על אי מסוים קיימים שני סוגים של עצי באובב, חלקם בעלי גזע מעט צהוב חלקם בעלי גזע מעט אדום. התחוללה סופת ברקים וחיסלה את רוב אוכלוסיית העצים באי. אילו מהמשפטים נכון?",שכיחות העצים תשתנה כתוצאה מסחף גנטי,שכיחות לא תשתנה,שכיחות עצים צהובים תעלה באופן דרמטי,.שכיחות עצים אדומים תעלה באופן דרמטי,האוכלוסיה תתקיים לפי שיווי משקל הארדי ויינברג,,1,,FALSE,,
שחזורים 2018 - מועד א',מה ההבדל בין חיידקי גראם חיוביים לחידקיי גראם שליליים?,חיידקי גראם חיוביים הם בעלי שכבה פפטידוגליקן עבה וחסרי ממברנה חיצונית.,חיידקי גראם חיוביים טעונים חיובית וגראם שליליים טעונים שלילית,חיידקי גראם חיוביים עוברים סלקציה חיובית וחיידקי גראם שליליים עוברים סלקציה שלילית,חיידקי גראם חיוביים נצבעים אחרת מחיידקי גראם שליליים,א+ד,,4,,TRUE,,
שחזורים 2018 - מועד א',אילו מכניזמים מאפשרים העברה לטרלית של גנים (lateral gene transfer) בפרוקריוטים?,קוניוגציה (conjunction),טרנספורמציה (transformation),טרנסדוקציה (transduction),כל התשובות,,,4,,FALSE,,
שחזורים 2018 - מועד א',קשה למצוא תרופה או חיסון לנגיף הHIV. מה אינו מתאר את אחת הסיבות לכך?,הוירוס הופך לפרווירוס ומוחבא בגנום של המאחסן.,המעטפת החלבוית עוברת הרבה שינויים,"לוירוס יש אנזים רוורס טרנקריפטאז שפוגע ברנ""א התאי",קצב מוטציות גבוה,הוירוס פוגע בתאי מערכת החיסון,,3,,FALSE,,
שחזורים 2018 - מועד א',אנטיביוטיקה הינה... :,"מונעת התרבות של נגיפים וחיידקים ע""י עצירת ביטוי גנים",מונעת גדילה של חיידקים על ידי עיקוב חומרים הנמצאים רק בתאים חידקיים ולא בתאים אנושיים,"מונעת התרבות של נגיפים , בעקבות קצב מוטציה גבוהה, יפתחו הנגיפים עמידות",א+ג,ב+ג,א+ב,4,,TRUE,,
שחזורים 2018 - מועד א',מה סיכויי ההישרדות של אוכלוסייה בעלת מגוון גנטי קטן,סיכוי גבוה. יש סיכוי נמוך למוטציה.,סיכוי גבוה. כל הפריטים בעלי כשירות גבוהה.,סיכוי נמוך. בהינתן שינוי סביבתי יהיה זוכר את הסיבה)קשה לעשות אדפטציה.,"יש להן סיכוי נמוך לשרוד,היות ובהגדרה הן אינן בשיווי משקל הרדי ויינברג.",אין קשר בין מגוון גנטי לסיכויי הישרדות,,3,,FALSE,,
שחזורים 2018 - מועד א',,מיטוזה,מיוזה,קריוגמיה,פלסמוגמיה,ג+ד,,,,TRUE,,
שחזורים 2018 - מועד א',לאיזה סוג פטריות יש שלב דיקריוטי?,בסידיומיקוטה,בסידיומיקוטה ואסיומיקוטה,גלומרלוס,גלומרלוס וזיגומיקוטה,כלל הפטריות,,,,FALSE,,
שחזורים 2018 - מועד א',גלומרומיצטה יחודיים מבין הפטריות מפני ש:,יש להם דופן תא מבוסס כיתין,יש להם נבגים עם שוטון,הם יוצרים מיקוריזה ארבסקולרית,הם יוצרים זגוספורנגיום עמיד,הם יוצרים קורים קיאנוציטים,,,,FALSE,,
שחזורים 2018 - מועד א',יש סוגי פטריות שעושות שיתוף פעולה סימביוזי (הדדי) עם:,בעלי חיים,צמחים,חיידקים,רק בעלי חיים וצמחים,כולם,,,,FALSE,,
שחזורים 2018 - מועד א',"קודיום (codium) הוא אאוקריוט ימי פוטוסינטטי אשר יוצר פילמנטים קואנוציטיים (coenocytic filaments), כלומר אין דופן תא בין גרעינים שונים. דופן התא שלו מכיל צלולוז (cellulose) ופקטין (pectin) אבל לא כיטין (chitin). לאיזה קבוצה טקסונומית שייך הקודיום?+ ציור",פטריות,חיות,פרוטיסטים,צמחים,חואנופלגלטים (choanoflagallates),,,,FALSE,,
שחזורים 2018 - מועד א',באבולוציה של אאוקריוטים אילו מבין הבאים התרחש קודם:,אנדוסימביוזה ראשונית של פלסטיד,אנדוסימביוזה שניונית של פלסטיד,אנדוסימביוזה של מיטוכומדריה,,,,,,FALSE,,
שחזורים 2018 - מועד א',מהו מחזור החיים של פרוטיסטים?,הפלואידי,דיפלואידי,דיפלואידי שהופך להפלואידי ולהפך בדור הבא,א-מיני,א+ב+ג,,,,TRUE,,
שחזורים 2018 - מועד ב',מהי שיטת הpcr ?,שיטה להגדלת כמות גדילי דנא ספציפי,שיטה לקריאת דנא,שיטה לתרגום רנא,,,,,,FALSE,,
שחזורים 2018 - מועד ב',משהו שקשור לטמפ' גבוהה בpcr; ולמה צריך אותה? (משהו שהתשובה שלו היתה שכדי לחבר פריימרים צריך טמפ' נמוכה יותר,,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',מה מהבאים נחשב מטאגנומיקה?,ריצוף דנא של שימפנזה,ריצוף דנא של ליטר מי אוקיינוס,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',"תמונה של שני גדילי דנא חתוכים עי אנזים רסטריקציה ושאלו ע""י מה נחתך",,,,,,,,,FALSE,,
שחזורים 2018 - מועד ב',שאלה על איך הכי נכון לכתוב את השם של זבוב הפאירות- אות גדולה במילה הראשונה; קטנה במילה השניה; וכתב אלכסוני,,,,,,,,,FALSE,,
